Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
124,18702,species,White-eyed Vireo,Vireo griseus,1,York River State Park,US-VA,11 Apr 2023,L718829,S133471838,,1
125,7249,species,American Bittern,Botaurus lentiginosus,1,York River State Park,US-VA,11 Apr 2023,L718829,S133471838,,1
126,724,species,Ruddy Duck,Oxyura jamaicensis,100,York River State Park,US-VA,11 Apr 2023,L718829,S133471838,,1
127,649,species,Lesser Scaup,Aythya affinis,80,York River State Park,US-VA,11 Apr 2023,L718829,S133471838,,1
128,4741,species,Ruby-throated Hummingbird,Archilochus colubris,1,My yard (private property),US-VA,11 Apr 2023,L11474010,S133433288,,1
129,5418,species,American Coot,Fulica americana,2,Greensprings Interpretive Trail,US-VA,09 Apr 2023,L280466,S133264521,,1
130,3845,species,Chimney Swift,Chaetura pelagica,1,Greensprings Interpretive Trail,US-VA,09 Apr 2023,L280466,S133264521,,1
131,33469,species,Yellow-rumped Warbler,Setophaga coronata,5,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
132,33348,species,Common Yellowthroat,Geothlypis trichas,3,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
133,33172,species,Rusty Blackbird,Euphagus carolinus,20,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
134,33157,species,Brown-headed Cowbird,Molothrus ater,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
135,32634,species,Lincoln's Sparrow,Melospiza lincolnii,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
136,32449,species,Dark-eyed Junco,Junco hyemalis,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
137,23610,species,Barn Swallow,Hirundo rustica,4,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
138,23494,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
139,9939,species,Belted Kingfisher,Megaceryle alcyon,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
140,7384,species,Green Heron,Butorides virescens,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
141,563,species,Green-winged Teal,Anas crecca,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
142,450,species,Blue-winged Teal,Spatula discors,2,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
143,423,species,Wood Duck,Aix sponsa,1,Greensprings Interpretive Trail,US-VA,07 Apr 2023,L280466,S133021276,,1
144,33101,species,Red-winged Blackbird,Agelaius phoeniceus,9,Mainland Farm/Drummond's Field,US-VA,07 Apr 2023,L2830270,S134477184,,1
145,32569,species,Savannah Sparrow,Passerculus sandwichensis,2,Mainland Farm/Drummond's Field,US-VA,07 Apr 2023,L2830270,S134477184,,1
146,32542,species,Vesper Sparrow,Pooecetes gramineus,1,Mainland Farm/Drummond's Field,US-VA,07 Apr 2023,L2830270,S134477184,,1
147,20786,species,Blue Jay,Cyanocitta cristata,1,Mainland Farm/Drummond's Field,US-VA,07 Apr 2023,L2830270,S134477184,,1
148,6086,species,Wilson's Snipe,Gallinago delicata,9,Mainland Farm/Drummond's Field,US-VA,07 Apr 2023,L2830270,S134477184,,1
149,26270,species,Ruby-crowned Kinglet,Corthylio calendula,1,My yard (private property),US-VA,07 Apr 2023,L11474010,S132924863,,1
150,6499,species,Great Black-backed Gull,Larus marinus,2,Messick Point,US-VA,06 Apr 2023,L2153527,S133021324,,1
